generations,population,infected_t25,infected_t75,infected_t10,infected_t60,infected_t50,infected_t100,beta,gamma
12,455920,1277,1148,1330,1180,1204,1104,0.8374636775830622,0.8358337349250369
12,967500,3163,1148,4687,1512,1836,748,0.8328026266761924,0.8367633994946817
12,73540,261,23,647,46,74,7,0.7584296942924377,0.7709308657721269
12,57600,103,223,79,182,156,297,0.6161504927391036,0.6101797074418676
8,66280,290,271,297,276,280,264,0.5147067696625748,0.5130755799635244
7,1200,6,4,7,5,5,4,0.5046999284219424,0.5052556839858466
12,3420,0,0,0,0,0,0,1.5,0.1
12,1360,5,1,8,1,2,0,0.7635399879216819,0.7694925766794735
12,1300,4,2,5,3,3,2,0.4838910276974232,0.4854919533681564
12,1700,5,3,7,3,4,2,0.5042001443208867,0.5057608452444298
12,2320,8,4,11,5,6,3,0.5091017530495998,0.5110953791653184
12,1000,3,1,4,2,2,1,0.5037074528631028,0.5062628019776703
12,2140,0,0,0,0,0,0,0.01,1.0
12,8840,6,12,5,10,9,16,0.6821223274706381,0.6779563189690457
7,1360,2,5,2,4,4,7,0.5088972782477881,0.5011019603183883
12,1780,3,4,3,4,3,4,0.7705494195114073,0.7676490605734565
12,4420,0,0,0,0,0,0,0.01,1.0
12,1180,4,0,11,0,1,0,0.4979460173026328,0.5123107380702722
8,19520,130,30,223,45,60,15,0.4997088588130067,0.5101666016897537
12,613800,2148,868,3076,1106,1315,598,0.8334616904183564,0.8366228117798999
12,50020,50,223,30,150,112,377,0.6763312654643808,0.6664670802560005
12,65260,228,23,546,44,69,8,0.8264282246026053,0.8380221198730792
12,3600,7,13,5,11,10,17,0.6668073413061774,0.6614257896515752
12,17940,30,73,22,58,49,98,0.7737637334048898,0.7667520235237607
12,2340,5,11,4,9,8,13,0.7730509838536191,0.7668779687355707
12,441520,1543,543,2327,720,879,351,0.8327358625266517,0.8367711943988638
12,2060,0,0,0,0,0,0,1.5,0.1
12,1180,0,0,0,0,0,0,1.5,0.1
12,2240,8,2,14,3,4,1,0.5056555868510939,0.5125600026827173
12,1340,5,3,6,3,4,2,0.5046344922851788,0.5053353632066251
8,2940,25,1,57,4,6,0,0.01,0.032004231290478476
12,3060,11,6,13,7,8,5,0.5095307204874795,0.511048675094602
12,4380,14,8,17,9,10,6,0.7672509242866914,0.7684780956030379
9,1820,0,0,0,0,0,0,1.5,0.1
12,2980,12,7,14,8,9,6,0.5044116700584311,0.50554585358649
12,1080,0,0,0,0,0,0,1.5,0.1
12,1160,0,0,0,0,0,0,1.5,0.1
12,5700,13,21,11,18,17,25,0.7719743278305597,0.7670616238927197
10,5520,27,7,44,10,13,4,0.5012304784942458,0.5086839484273399
12,4600,14,16,14,16,15,17,0.5064611973046445,0.5041480992127224
8,2120,14,3,22,5,7,2,0.5006620033277773,0.5096346741512184
12,14040,0,0,0,0,0,0,1.5,0.1
11,1040,4,0,11,0,1,0,0.4981991119748084,0.5136695304972
7,3940,29,8,46,12,15,5,0.5243679427005145,0.5338179430689098
10,1020,0,0,0,0,0,0,0.01,1.0
12,2720,7,10,6,9,8,11,0.5067425952008633,0.5032306810825757
12,3960,16,3,29,5,7,1,0.5103956374815206,0.5184377096383495
11,1180,4,1,7,1,2,0,0.7635776942359609,0.7696221048040908
7,1100,6,6,6,6,6,6,0.5090633335921448,0.5053685795224335
11,3420,12,7,15,8,9,6,0.5120405285433558,0.5134406274229517
12,1320,2,5,2,4,3,6,0.6968104463319114,0.6915226089197932
12,3140,0,0,0,0,0,0,0.01,1.0
12,1620,6,2,8,3,4,2,0.5045148569176076,0.5075726706920868
12,11440,0,0,0,0,0,0,0.01,1.0
8,6240,30,19,36,22,24,16,0.5057203121314103,0.5075842140064757
12,1040,0,0,0,0,0,0,1.5,0.1
4,19480,0,0,0,0,0,0,0.010000001015976203,0.9999999996968536
11,2240,8,5,10,5,6,3,0.5083791566543078,0.5101447816991787
12,467060,1165,1173,1162,1171,1169,1176,0.8378857648642727,0.8357501474578181
12,182480,678,195,1111,274,347,115,0.8317723393844118,0.8369634456970859
12,347220,1160,749,1366,843,917,625,0.6149572732582445,0.6157432545932686
12,1120,2,3,2,3,2,3,0.7713646655600864,0.7673879473533768
11,14600,71,25,104,34,41,16,0.5026083566155434,0.5073246636190925
12,4260,9,12,8,11,10,13,0.5084338091365757,0.5056834995497853
12,1900,7,5,7,6,6,5,0.505624465503276,0.5050679284131931
12,1060,4,1,6,2,2,1,0.5028278397757601,0.5071182304096875
